_id,year_month,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
11,201803,Pittsburgh Mercy Family Health Center,Pittsburgh Mercy Family Health Center,South Side,"249 S 9th St, First Floor, PA, 15203",40.430454,-79.989221,Pittsburgh Mercy Health System,clinic,"all ages needing primary care physician, including Veterans","Appointments encouraged.  Acute issues met immediately, no insurance required; benefits coordinator will then walk you through benefits process (you will continue to get care while awaiting coverage).",412-697-3260,"The Mercy Family Health Center is a primary care physician practice for adults, children, adolescents, and seniors.  Prenatal care (pregnancy help) and gynecology services offered.  Foot care (podiatry) and basic dental services (cleaning and exam) available as well.  Center also handles mental health and addiction issues.","Mon, Tues, Thurs, Fri:  8am - 4pm; Wed:  8am - 8pm; 2nd/4th Sat:  8am - 1pm",
12,201803,Lunch - Wellspring,Wellspring Drop-in Center,Uptown,"903 Watson St, PA, 15219",40.438492,-79.991555,Pittsburgh Mercy Health System,meals,all,none,412-263-2545,"Lunch served at the drop-in center at 12:30. Center can also provide lockers (for street homeless), mail drop and showers.  Also helps with connecting to resources.",Mon - Fri:  12:30pm,Closed during date: 2017/11/24; 
13,201803,Wellspring Drop-In Center,Wellspring Drop-in Center,Uptown,"903 Watson St, PA, 15219",40.438492,-79.991555,Pittsburgh Mercy Health System,roof-daytime|miscl-showers,all,none,412-263-2545,"Drop-in Center that can provide lockers (for street homeless), mail drop and showers.  Also helps with connecting to resources.  Computer and phone available for use.  Open Studio art program Fridays, 10am - 4pm (walk-ins welcome).  Recovery group meets  Mon - Thurs at 11am (walk-ins also welcome).",Mon - Fri:  10am - 4pm,
14,201803,Mobile Med Van - Monday evening,Mobile Med Van - Mon,Downtown,"111 Blvd of the Allies, PA, 15222",40.439439,-80.004312,Pittsburgh Mercy Health System,clinic,all,none - no fees and no insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided.",Mon:  7pm - 10pm,
15,201803,Mon Dinner - Miss Nancy's,Mobile Med Van - Mon,Downtown,"111 Blvd of the Allies, PA, 15222",40.439439,-80.004312,Pittsburgh Mercy Health System,meals,all,none,,A long Pittsburgh tradition,Mon: 10pm,
16,201803,Mobile Med Van - Wed afternoon,Mobile Med Van - Wed,Wilkinsburg,"616 South Ave, PA, 15221",40.441946,-79.886273,Pittsburgh Mercy Health System,clinic,all,none - no fees and no insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided",Wed: 1:30 - 5:30,
17,201803,Mobile Med Van - Thurs evening,Mobile Med Van - Thurs,North Side,"10 E North Ave, PA, 15212",40.455659,-80.006062,Pittsburgh Mercy Health System,clinic,all,none - no fees and no insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided.",Thurs:  7pm - 10pm,
18,201803,Mobile Med Van - Thursday/daytime,Mobile Med Van - Thursday daytime (North Side),North Side,"11 East North Avenue, PA, 15212",40.455569,-80.005345,Pittsburgh Mercy Health System,clinic,all,none - no fees or insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided",Thu: 9am - 4pm,
19,201803,Mobile  Med Van - Tuesday Evening,Mobile Med Van - Tuesday Evening (Downtown),Downtown,"620 Smithfield Street, PA, 15219",40.442001,-79.997228,Pittsburgh Mercy Health System,clinic,all,none - no fees or insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided.",Tues: 6:00 pm - 8:30pm,
20,201803,Mobile Med Van - Tuesdays by appointment,Mobile Med Van - Tuesdays by appointment,Downtown,"905 Watson Street, PA, 15219",40.438403,-79.991439,Pittsburgh Mercy Health System,clinic,all,none - no fees or insurance required,412-697-3260,"The mobile medical unit is equipped to provide all of the same, major services of a primary care physician’s office, including routine physical exams, diagnostic screenings, chronic disease management (e.g., diabetes, asthma, and hypertension), well and sick adult and child visits, immunizations, school and sports physicals, Medicare and WIC exams, and more. Note: Emergency services and X-rays will not be provided.","2nd and 4th Tuesdays of each month, by appointment only",
21,201803,"Metro Community Health Center- Integrated Care Services (Transgender, primary care)",Metro Community Health Center- Integrated Care Services,Swissvale,"1789 South Braddock Avenue Suite 410, PA, 15218",40.424434,-79.887187,Metro Community Health,clinic,"Transgender Issues, with six family practice providers.",None,412-247-2310,"Primary care and integrated behavioral health family practice clinic, with specialty in transgender issues - to anyone who walks through their doors. Will assist with getting insurance/Medicaid where possible.","Mon, Thurs, Fri:  8am - 4:30pm; Tues, Wed:  8am - 7:30pm",
22,201803,Lunch - East End Cooperative Ministries,East End Cooperative Ministries Lunch,East Liberty,"6140 Station St, PA, 15206",40.463009,-79.922353,East End Cooperative Ministries,meals,all,none,,"Free lunch;  allow time to go through security (no alcohol, drugs or weapons).  Enter Door G - double doors marked Community Connections, off parking lot",Mon - Fri:  12:15pm - 1pm,
23,201803,Food Pantry - East End Cooperative Ministries,EECM - Food Pantry,East Liberty,"6140 Station St, PA, 15206",40.463009,-79.922353,East End Cooperative Ministries,meals-foodpantries,all who need food,must be 18 or older,,"Food pantry available for all those in need.  Sometimes have toiletries, paper products, baby food.  Once only for emergency.  Want documentation if go on monthly program.","Mon - Fri:  9:30am - 11:30am, 1pm - 3pm; 3rd Monday of the month from 6:30pm - 8:30 pm",
24,201803,Continental Breakfast/Lunch - Jubilee Kitchen,Jubilee Kitchen,Uptown,"2005 Wyandotte St, PA, 15219",40.438465,-79.977273,Jubilee Kitchen,meals,all,none,412-261-5417,"Coffee and rolls starting at 8:30am, lunch at 11am.",365 days/year; Continental Breakfast at 8:30am; Lunch at 11am,
25,201803,Jubilee Kitchen Foot Clinic,Jubilee Kitchen,Uptown,"2005 Wyandotte St, PA, 15219",40.438465,-79.977273,Jubilee Kitchen,clinic,all,"none, walk-in;  call ahead to confirm Doctor will be in",412-261-5417,"Walk-in foot clinic with podiatrist, usually the last Friday of the month.",Last Friday of the Month:; 8am - 10am,
26,201803,Men's breakfast - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.455659,-80.006062,Light of Life Rescue Mission,meals,all men,,412-258-6100,Free breakfast for those in need.,7 days/week: 7:30am - 8am,
27,201803,Women & children's breakfast - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.455659,-80.006062,Light of Life Rescue Mission,meals,all women and children,,412-258-6100,Free breakfast for those in need.,7 days/week: 8am - 8:30am,
28,201803,Men's dinner - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.455659,-80.006062,Light of Life Rescue Mission,meals,all men,,412-258-6100,Free dinner for those in need.,7 days/week: 5:30pm - 6pm,
29,201803,Women & children's dinner - Light of Life Mission,Light of Life Rescue Mission,North SIde,"10 E North Ave, PA, 15212",40.455659,-80.006062,Light of Life Rescue Mission,meals,all women and children,,412-258-6100,Free dinner for those in need.,7 days/week: 5pm - 5:30pm,
30,201803,Breakfast - Shepherd's Heart,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,meals,all,none,412-281-1305,"Drop-in Center provides breakfast, showers, and laundry.  A short prayer service precedes the meal.",Mon - Fri:  8am - 10am,
31,201803,Shepherd's Heart Drop-in Center,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,roof-daytime|miscl-showers,all,none,412-281-1305,"The Drop-In Center is a safe place for the poor and the homeless to come in the morning to eat breakfast, take a shower, and do their laundry. A short morning prayer service starts at 8:00am. Clothing is available based on donations, as well as basic toiletries.",Mon - Sat: 8am - 10am,
32,201803,Stop 1 - Shepherd's Heart Free Shuttle,Stop 1 - Shepherd's Heart Free Shuttle,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.  Downtown Stop Varies by Week.",Mon - Fri:  8:30am & 11am; (be at the stop 10 minutes early),
33,201803,Ending Stop - Shepherd's Heart Free Shuttle,Stop 1 - Shepherd's Heart Free Shuttle,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Arrival times (end of the run):; Mon - Fri:  10:13am & 12:48pm,
34,201803,Stop 2 - Shepherd's Heart Free Shuttle,Stop 2 - Shepherd's Heart Free Shuttle,Downtown,"320 Sixth Avenue, PA, 15222",40.441866,-79.99891,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"Downtown stops during the week: ; December 4-10, First Lutheran Church ; December 11-12, First Presbyterian Church ; December 18 - 24, Trinity Cathedral ; December 25 - 31, Smithfield United Church of Christ ; January 1 - 7, First Lutheran Church ; January 8 - 14, St. Mary of Mercy ; January 15 - 21, First Presbyterian Church ; January 22 - 28, Trinity Cathedral ; January 29 - February 4, Smithfield UCC",Mon - Fri:  8:35am & 11:05am; (be at the stop 10 minutes early),
35,201803,Stop 3 - Shepherd's Heart Free Shuttle,Stop 3 - Shepherd's Heart Free Shuttle,North Side,"10 E North Ave, PA, 15212",40.455659,-80.006062,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.","Mon - Fri:  8:55am & 11:05am; (be at the stop 10 minutes early); Downtown Stop Varies by Week,",
36,201803,Stop 4 - Shepherd's Heart Free Shuttle,Stop 4 - Shepherd's Heart Free Shuttle,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:02am & 11:30am; (be at the stop 10 minutes early); Downtown Stop Varies by Week.,
37,201803,Stop 5 - Shepherd's Heart Free Shuttle,Stop 5 - Shepherd's Heart Free Shuttle,South Side,"1625 W Carson St, PA, 15219",40.441972,-80.022842,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:12am & 11:40am; Downtown Stop Varies by Week,
38,201803,Stop 6 - Shepherd's Heart Free Shuttle,Stop 6 - Shepherd's Heart Free Shuttle,South Side,"330 S 9th St, PA, 15203",40.430784,-79.990092,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:17am & 11:52am; (be at the stop 10 minutes early); Downtown Stop Varies by Week.,
39,201803,Stop 7 - Shepherd's Heart Free Shuttle,Stop 7 - Shepherd's Heart Free Shelter,South Side,"2417 E Carson St, PA, 15203",40.428082,-79.970277,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:24am & 12:02pm; (be at the stop 10 minutes early); Downtown Stop Varies by Week:,
40,201803,Stop 8 - Shepherd's Heart Free Shuttle,Stop 8 - Shepherd's Heart Free Shuttle,Uptown,"2005 Wyandotte St, PA, 15219",40.438465,-79.977273,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:28am & 12:05pm; (be at the stop 10 minutes early),
41,201803,Stop 9 - Shepherd's Heart Free Shuttle,Stop 9 - Shepherd's Heart Free Shuttle,Oakland,"Allequippa St, PA, 15240",40.44685,-79.960439,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.  VA shuttle can take Vets to the VA facility in Aspinwall.",Mon - Fri:  9:32am & 12:18pm; (be at the stop 10 minutes early),
42,201803,Stop 10 - Shepherd's Heart Free Shuttle,Stop 10 - Shepherd's Heart Free Shuttle,Downtown,"1000 Liberty Ave, PA, 15222",40.443664,-79.994612,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:47am & 12:32pm; (be at the stop 10 minutes early),
43,201803,Stop 11 - Shepherd's Heart Free Shuttle,Stop 11 - Shepherd's Heart Free Shuttle,Downtown,"300 Liberty Ave, PA, 15222",40.440861,-80.006232,Shepherd's Heart Fellowship,miscl-freeshuttle,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:55am & 12:41pm; (be at the stop 10 minutes early),
44,201803,Bag Lunch - The Red Door,The Red Door,Downtown,"202 Stanwix St, PA, 15222",40.439915,-80.004634,St. Mary of Mercy,meals,all,none,,Provides bag lunch for take-away.  Some basic clothing (including socks) may be available on request.,Mon - Sat:  10:30am - 11:30am,
45,201803,Tues/Thurs Lunch | Sun Dinner - New Hope U.M. Church,New Hope Church Lunch,North Side,"114 W North Ave, PA, 15212",40.455603,-80.008411,New Hope United Methodist Church,meals,all,none,,"free lunch and sunday dinner, all are welcome","Tues, Thurs: 11am - 1pm; Sun:  3pm - 5pm",
46,201803,Allegheny Link line for Emergency Overnight Shelter,Allegheny Link Line,Downtown,,,,Allegheny County Department of Human Services,roof-overnight,"for those who are experiencing or at risk of homelessness, those with a disability, or those over the age of 60 (with or without a disability)","For shelter, you will be asked to provide social security number (not required), name, gender and age.",1-866-730-2368,"For adult singles, the Link line will provide information on nearby shelters.  You will then need to reach out directly to a Shelter to get information about bed vacancies.   The Link line will not be reserving spaces or maintaining waiting lists for single shelters (including youth and veterans).  For families, the Link will continue to coordinate assignment to shelters.  The Link line can also offer referrals to a wide range of programs and services for those in distress (and help with completion of any needed paperwork).",Mon - Fri:  8am - 7pm,Closed during date: 2017/11/23; Closed during date: 2017/11/24; Closed during date: 2017/12/25; Closed during date: 2017/10/09; Closed during date: 2017/12/22; Closed during date: 2018/01/01; 
47,201803,Allegheny Link Line for Emergency Overnight Shelter,Allegheny Link Line,Downtown,,,,Allegheny County Department of Human Services,roof-overnight,"for those who are experiencing or at risk of homelessness, those with a disability, or those over the age of 60 (with or without a disability)","For shelter, you will be asked to provide social security number (not required), name, gender and age.",1-866-730-2368,"When the Link line is closed, you will get a recorded message with options for those in particular need.   For adult singles, the Link line will provide information on nearby shelters.  You will then need to reach out directly to a Shelter to get information about bed vacancies.   For the next few months, the Link will not be reserving spaces or maintaining waiting lists for single shelters (including youth and veterans).  For families, the Link will continue to coordinate assignment to shelters.  The Link line can also offer referrals to a wide range of programs and services for those in distress (and help with completion of any needed paperwork).",Mon - Fri:  8am - 7pm,
48,201803,Light of Life Emergency Shelter (for Men),Allegheny Link Line,Downtown,,,,Allegheny County Department of Human Services,roof-overnight,,"For shelter, you will be asked to provide social security number (not required), name and age.",412-803-4120,"When the Link Line is closed, single men 25 and over can seek emergency overnight shelter directly at the Light of Life Rescue Mission at 10 East North Ave on the North Side.",,
49,201803,Bethlehem Haven Emergency Shelter (for Women),Allegheny Link Line,Downtown,,,,Allegheny County Department of Human Services,roof-overnight,,"For shelter, you will be asked for social security number (not required), name and age.",412-391-1348,"When the Link Line is closed, women 25 and over may seek emergency overnight shelter at Bethlehem Haven, 1410 Fifth Ave in Uptown.  (This is a temporary location while their building on Watson St is under construction.)",,
50,201803,Emergency Shelter for Homeless Young Adults,Family Links Shelter,Uptown,,,,Family Links,roof-overnight,,Just to discuss your situation.,412-471-6160,"For youth ages 18 - 24 who are homeless or transient (or at risk of not being able to find a safe place to stay), Familylinks Shelter can provide emergency shelter, food and clothing for 60 days while they work with you to plan next steps.  (Even after 60 days, they will make sure you have a place to stay.)   Medical care and counseling can also be provided as needed.",,
51,201803,Emergency Shelter for Women with Children,Women's Center and Shelter of Greater Pittsburgh,Unknown,,,,Women's Center and Shelter of Pittsburgh,roof-overnight,,"to be admitted, you need to call to discuss your situation with an advocate.",412-687-8005,"For women with children (including boys 17 and under) who fear domestic violence and have no place else to go.  Shelter services include meeting basic needs like clothing, toiletries and meals.  Advocates provide safety planning, emotional support, crisis intervention and goal planning.  Average length of stay is 30 days, with some stays as long as 45 days.",,
52,201803,Lunch - Pleasant Valley Shelter (Mon/Wed/Fri),Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,meals,all,none,412-321-4272,Free lunch for all in need,"Mon, Wed, Fri:  noon - 1pm",
53,201803,Pleasant Valley Shelter - Laundry,Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,miscl-showers,all,Only for first four people who arrive each day,412-321-4272,You may wash clothes free of charge.,Mon - Fri:  9am - 11am,
54,201803,Pleasant Valley Men's Shelter - Daytime Drop-In,Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,roof-daytime,all,none,412-321-4272,"Place to hang out on the North Side on weekdays with a TV room and library. Free lunch served M/W/F. Lockers available to store belongings during drop-in hours. Laundry can be done on a first-come, first-served basis for up to four people. Showers available for men only. Free clothing and toiletries as available (be aware that most of the clothing to be given out is for men).",Mon - Fri: 9am - 2pm,
55,201803,Pleasant Valley Men's Shelter - Showers,Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,miscl-showers,all men,none,412-321-4272,"Showers for men only, toiletries provided by shelter.",Mon - Fri: 9am - 11am,
56,201803,Pleasant Valley Men's Shelter - Free Supplies,Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,miscl-supplies,all,none,412-321-4272,Free clothing and toiletries can be given out as available (be aware that most of the clothing is for men).,Mon - Fri: 9am - 2pm,
57,201803,Re:Solve Crisis Network,re:solve Crisis Network,North Point Breeze,"333 N Braddock Ave, PA, 15208",40.449527,-79.893775,UPMC WPIC,clinic,anyone experiencing a mental health crisis,none; walk-ins welcome; mobile trained counselors can come to you,1-888-796-8226,RE:SOLVE CRISIS NETWORK has mental health professionals 24/7 to help.  Same day confidential assessment. Temporary stay-overs possible based on diagnosis.,Available 24/7,
58,201803,CHS Oakland Food Pantry - Thurs/Fri,CHS Oakland Community Foodbank,South Oakland,"370 Lawn St, PA, 15213",40.433946,-79.961422,Community Human Services,meals-foodpantries,all,"Photo ID not required and self-certify income (up to 150% of poverty line, which they do not verify) with signature. It is recommended to bring bags to carry food in, and some form of entertainment such as a book, as there can be long waits.",412-246-1686,Healthy food is distributed at this pantry; please do not use more than once per month.  Student nurses provide free health screening and referrals.  Cooking demos and nutrition classes offered. Also has free pet food through the Chow Wagon program.,Thurs:  3pm - 6pm; Fri:  11am - 2pm,Closed during date: 2018/11/22; 
59,201803,Sun Lunch - Salvation Army,Salvation Army Sunday Meal,North Side,"100 W. North Ave, PA, 15212",40.455837,-80.007828,Salvation Army,meals,all,must attend worship service before meal,412-321-0290,Free Sunday meal following worship service.,"Sun:  11am (service, followed by meal)",
60,201803,Library - North Side,Carnegie Library - Allegheny/North Side,North Side,"1230 Federal St, PA, 15212",40.456352,-80.00677,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-237-1890,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
